time,value_obs,issued_2026:02:09T00:00:00,issued_2026:02:09T12:00:00,issued_2026:02:10T00:00:00,issued_2026:02:10T12:00:00,issued_2026:02:11T00:00:00,issued_2026:02:11T12:00:00,issued_2026:02:12T00:00:00,issued_2026:02:12T12:00:00,issued_2026:02:13T00:00:00,issued_2026:02:13T12:00:00,issued_2026:02:14T00:00:00,issued_2026:02:14T12:00:00,issued_2026:02:15T00:00:00,issued_2026:02:15T12:00:00,issued_2026:02:16T00:00:00,issued_2026:02:16T12:00:00,issued_2026:02:17T00:00:00,issued_2026:02:17T12:00:00,issued_2026:02:18T00:00:00,issued_2026:02:18T12:00:00,issued_2026:02:19T00:00:00,issued_2026:02:19T12:00:00,issued_2026:02:20T00:00:00,issued_2026:02:20T12:00:00,issued_2026:02:21T00:00:00,issued_2026:02:21T12:00:00,issued_2026:02:22T00:00:00,issued_2026:02:22T12:00:00,issued_2026:02:23T00:00:00
2026-02-12T00:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2026-02-12T01:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2026-02-12T02:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,
2026-02-12T03:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,,,,,,,,,,,,,,,,,,,,,,
2026-02-12T04:00:00Z,0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2026-02-12T05:00:00Z,0,0.1,0.0,0.1,5.3,0.6,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,
2026-02-12T06:00:00Z,0,0.0,0.0,0.0,1.6,10.2,0.1,21.8,,,,,,,,,,,,,,,,,,,,,,
2026-02-12T07:00:00Z,0,0.0,6.9,0.0,0.1,1.6,0.2,10.8,,,,,,,,,,,,,,,,,,,,,,
2026-02-12T08:00:00Z,0,2.3,0.2,8.4,0.0,0.5,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,
2026-02-12T09:00:00Z,0,0.0,0.0,15.2,0.0,0.6,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,
2026-02-12T10:00:00Z,0,0.0,0.0,10.9,48.2,8.4,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,
2026-02-12T11:00:00Z,0,0.0,0.0,15.1,8.6,0.7,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2026-02-12T12:00:00Z,0,0.0,0.0,0.7,1.1,0.3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
